bigg_id	universal_bigg_id	name	model_list	database_links	old_bigg_ids
acACP_h	acACP	Acetyl-ACP	iRC1080; iAM_Pb448; iAM_Pk459; iAM_Pc455; iAM_Pf480; iAM_Pv461; iLB1027_lipid	KEGG Compound: http://identifiers.org/kegg.compound/C03939; CHEBI: http://identifiers.org/chebi/CHEBI:13713; CHEBI: http://identifiers.org/chebi/CHEBI:17093; CHEBI: http://identifiers.org/chebi/CHEBI:2409; BioCyc: http://identifiers.org/biocyc/META:ACETYL-ACP; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM1269; SEED Compound: http://identifiers.org/seed.compound/cpd11494	acACP; acACP_h
accoa_s	accoa	Acetyl-CoA	iRC1080	Reactome Compound: http://identifiers.org/reactome/R-ALL-113559; Reactome Compound: http://identifiers.org/reactome/R-ALL-113560; Reactome Compound: http://identifiers.org/reactome/R-ALL-353123; Reactome Compound: http://identifiers.org/reactome/R-ALL-727753; Reactome Compound: http://identifiers.org/reactome/R-ALL-76183; KEGG Compound: http://identifiers.org/kegg.compound/C00024; CHEBI: http://identifiers.org/chebi/CHEBI:13712; CHEBI: http://identifiers.org/chebi/CHEBI:15351; CHEBI: http://identifiers.org/chebi/CHEBI:22192; CHEBI: http://identifiers.org/chebi/CHEBI:2408; CHEBI: http://identifiers.org/chebi/CHEBI:40470; CHEBI: http://identifiers.org/chebi/CHEBI:57288; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01206; LipidMaps: http://identifiers.org/lipidmaps/LMFA07050029; LipidMaps: http://identifiers.org/lipidmaps/LMFA07050281; BioCyc: http://identifiers.org/biocyc/META:ACETYL-COA; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM21; InChI Key: https://identifiers.org/inchikey/ZSLZBFCDCINBPY-ZSJPKINUSA-J; SEED Compound: http://identifiers.org/seed.compound/cpd00022	accoa; accoa_s
achms_h	achms	O Acetyl L homoserine C6H11NO4	iRC1080	KEGG Compound: http://identifiers.org/kegg.compound/C01077; CHEBI: http://identifiers.org/chebi/CHEBI:12684; CHEBI: http://identifiers.org/chebi/CHEBI:12709; CHEBI: http://identifiers.org/chebi/CHEBI:16288; CHEBI: http://identifiers.org/chebi/CHEBI:21937; CHEBI: http://identifiers.org/chebi/CHEBI:57716; CHEBI: http://identifiers.org/chebi/CHEBI:7667; InChI Key: https://identifiers.org/inchikey/FCXZBWSIAGGPCB-YFKPBYRVSA-N; BioCyc: http://identifiers.org/biocyc/META:CPD-667; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM699; SEED Compound: http://identifiers.org/seed.compound/cpd00790	achms; achms_h
ACP_h	ACP	Acyl carrier protein	iRC1080; iAM_Pv461; iAM_Pc455; iAM_Pk459; iAM_Pf480; iAM_Pb448; iLB1027_lipid	KEGG Compound: http://identifiers.org/kegg.compound/C00229; CHEBI: http://identifiers.org/chebi/CHEBI:14405; CHEBI: http://identifiers.org/chebi/CHEBI:18359; CHEBI: http://identifiers.org/chebi/CHEBI:2458; BioCyc: http://identifiers.org/biocyc/META:ACP; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM925; SEED Compound: http://identifiers.org/seed.compound/cpd11493	ACP; ACP_h
actACP_h	actACP	Acetoacetyl-ACP	iLB1027_lipid; iRC1080; iAM_Pf480; iAM_Pc455; iAM_Pv461; iAM_Pb448; iAM_Pk459	KEGG Compound: http://identifiers.org/kegg.compound/C05744; CHEBI: http://identifiers.org/chebi/CHEBI:2393; BioCyc: http://identifiers.org/biocyc/META:Acetoacetyl-ACP; BioCyc: http://identifiers.org/biocyc/META:Acetoacetyl-ACPs; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM1223; SEED Compound: http://identifiers.org/seed.compound/cpd11488	actACP; actACP_h
ahcys_g	ahcys	S-Adenosyl-L-homocysteine	iRC1080; iAM_Pv461; iAM_Pf480; iAM_Pb448; iAM_Pk459; iAM_Pc455	Reactome Compound: http://identifiers.org/reactome/R-ALL-2162252; Reactome Compound: http://identifiers.org/reactome/R-ALL-5278409; Reactome Compound: http://identifiers.org/reactome/R-ALL-71285; Reactome Compound: http://identifiers.org/reactome/R-ALL-77502; KEGG Compound: http://identifiers.org/kegg.compound/C00021; CHEBI: http://identifiers.org/chebi/CHEBI:12741; CHEBI: http://identifiers.org/chebi/CHEBI:12759; CHEBI: http://identifiers.org/chebi/CHEBI:12761; CHEBI: http://identifiers.org/chebi/CHEBI:16680; CHEBI: http://identifiers.org/chebi/CHEBI:22034; CHEBI: http://identifiers.org/chebi/CHEBI:45495; CHEBI: http://identifiers.org/chebi/CHEBI:57856; CHEBI: http://identifiers.org/chebi/CHEBI:67009; CHEBI: http://identifiers.org/chebi/CHEBI:8945; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00939; BioCyc: http://identifiers.org/biocyc/META:ADENOSYL-HOMO-CYS; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM19; InChI Key: https://identifiers.org/inchikey/ZJUKTBDSGOFHSH-WFMPWKQPSA-N; SEED Compound: http://identifiers.org/seed.compound/cpd00019	ahcys; ahcys_g
aicar_h	aicar	5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide	iRC1080	Reactome Compound: http://identifiers.org/reactome/R-ALL-111409; KEGG Compound: http://identifiers.org/kegg.compound/C04677; CHEBI: http://identifiers.org/chebi/CHEBI:12102; CHEBI: http://identifiers.org/chebi/CHEBI:18406; CHEBI: http://identifiers.org/chebi/CHEBI:18966; CHEBI: http://identifiers.org/chebi/CHEBI:40739; CHEBI: http://identifiers.org/chebi/CHEBI:573; CHEBI: http://identifiers.org/chebi/CHEBI:58475; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01517; BioCyc: http://identifiers.org/biocyc/META:AICAR; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM365; InChI Key: https://identifiers.org/inchikey/NOTGFIUVDGNKRI-UUOKFMHZSA-L; SEED Compound: http://identifiers.org/seed.compound/cpd02851	aicar; aicar_h
allphn_m	allphn	Allophanate C2H3N2O3	iRC1080	InChI Key: https://identifiers.org/inchikey/AVWRKZWQTYIKIY-UHFFFAOYSA-M; KEGG Compound: http://identifiers.org/kegg.compound/C01010; CHEBI: http://identifiers.org/chebi/CHEBI:15293; CHEBI: http://identifiers.org/chebi/CHEBI:15832; CHEBI: http://identifiers.org/chebi/CHEBI:27219; CHEBI: http://identifiers.org/chebi/CHEBI:9889; BioCyc: http://identifiers.org/biocyc/META:CPD-578; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM1122; SEED Compound: http://identifiers.org/seed.compound/cpd00742	allphn; allphn_m
alltn_m	alltn	Allantoin	iRC1080	KEGG Compound: http://identifiers.org/kegg.compound/C01551; CHEBI: http://identifiers.org/chebi/CHEBI:13761; CHEBI: http://identifiers.org/chebi/CHEBI:15676; CHEBI: http://identifiers.org/chebi/CHEBI:22354; CHEBI: http://identifiers.org/chebi/CHEBI:2594; CHEBI: http://identifiers.org/chebi/CHEBI:74345; KEGG Drug: http://identifiers.org/kegg.drug/D00121; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00462; BioCyc: http://identifiers.org/biocyc/META:ALLANTOIN; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM612; InChI Key: https://identifiers.org/inchikey/POJWUDADGALRAB-UHFFFAOYSA-N; SEED Compound: http://identifiers.org/seed.compound/cpd01092	alltn; alltn_m
ans_c	ans	Anserine	iRC1080	Reactome Compound: http://identifiers.org/reactome/R-ALL-8876775; KEGG Compound: http://identifiers.org/kegg.compound/C01262; CHEBI: http://identifiers.org/chebi/CHEBI:10349; CHEBI: http://identifiers.org/chebi/CHEBI:13836; CHEBI: http://identifiers.org/chebi/CHEBI:18323; CHEBI: http://identifiers.org/chebi/CHEBI:22828; CHEBI: http://identifiers.org/chebi/CHEBI:58445; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00194; BioCyc: http://identifiers.org/biocyc/META:CPD-401; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM2639; InChI Key: https://identifiers.org/inchikey/MYYIAHXIVFADCU-QMMMGPOBSA-N; SEED Compound: http://identifiers.org/seed.compound/cpd00926	ans; ans_c
anth_h	anth	Anthranilate	iRC1080; iLB1027_lipid	KEGG Compound: http://identifiers.org/kegg.compound/C00108; CHEBI: http://identifiers.org/chebi/CHEBI:13841; CHEBI: http://identifiers.org/chebi/CHEBI:16567; CHEBI: http://identifiers.org/chebi/CHEBI:22575; CHEBI: http://identifiers.org/chebi/CHEBI:22577; CHEBI: http://identifiers.org/chebi/CHEBI:22578; CHEBI: http://identifiers.org/chebi/CHEBI:2757; CHEBI: http://identifiers.org/chebi/CHEBI:30754; CHEBI: http://identifiers.org/chebi/CHEBI:40980; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01123; BioCyc: http://identifiers.org/biocyc/META:ANTHRANILATE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM188; InChI Key: https://identifiers.org/inchikey/RWZYAGGXGHYGMB-UHFFFAOYSA-M; SEED Compound: http://identifiers.org/seed.compound/cpd00093	anth; anth_h
apocytc_h	apocytc	Apocytochrome c	iRC1080	KEGG Compound: http://identifiers.org/kegg.compound/C02248; CHEBI: http://identifiers.org/chebi/CHEBI:13849; CHEBI: http://identifiers.org/chebi/CHEBI:15697; CHEBI: http://identifiers.org/chebi/CHEBI:2782; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM2100; SEED Compound: http://identifiers.org/seed.compound/cpd12052	apocytc; apocytc_h
apocytc_m	apocytc	Apocytochrome c	iRC1080	KEGG Compound: http://identifiers.org/kegg.compound/C02248; CHEBI: http://identifiers.org/chebi/CHEBI:13849; CHEBI: http://identifiers.org/chebi/CHEBI:15697; CHEBI: http://identifiers.org/chebi/CHEBI:2782; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM2100; SEED Compound: http://identifiers.org/seed.compound/cpd12052	apocytc; apocytc_m
aps_h	aps	Adenosine 5'-phosphosulfate	iRC1080; iLB1027_lipid	Reactome Compound: http://identifiers.org/reactome/R-ALL-174370; KEGG Compound: http://identifiers.org/kegg.compound/C00224; CHEBI: http://identifiers.org/chebi/CHEBI:12059; CHEBI: http://identifiers.org/chebi/CHEBI:13741; CHEBI: http://identifiers.org/chebi/CHEBI:13743; CHEBI: http://identifiers.org/chebi/CHEBI:17709; CHEBI: http://identifiers.org/chebi/CHEBI:22247; CHEBI: http://identifiers.org/chebi/CHEBI:2486; CHEBI: http://identifiers.org/chebi/CHEBI:40562; CHEBI: http://identifiers.org/chebi/CHEBI:58243; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01003; InChI Key: https://identifiers.org/inchikey/IRLPACMLTUPBCL-KQYNXXCUSA-L; BioCyc: http://identifiers.org/biocyc/META:APS; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM287; SEED Compound: http://identifiers.org/seed.compound/cpd00193	aps; aps_h
aps_m	aps	Adenosine 5'-phosphosulfate	iRC1080	Reactome Compound: http://identifiers.org/reactome/R-ALL-174370; KEGG Compound: http://identifiers.org/kegg.compound/C00224; CHEBI: http://identifiers.org/chebi/CHEBI:12059; CHEBI: http://identifiers.org/chebi/CHEBI:13741; CHEBI: http://identifiers.org/chebi/CHEBI:13743; CHEBI: http://identifiers.org/chebi/CHEBI:17709; CHEBI: http://identifiers.org/chebi/CHEBI:22247; CHEBI: http://identifiers.org/chebi/CHEBI:2486; CHEBI: http://identifiers.org/chebi/CHEBI:40562; CHEBI: http://identifiers.org/chebi/CHEBI:58243; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01003; InChI Key: https://identifiers.org/inchikey/IRLPACMLTUPBCL-KQYNXXCUSA-L; BioCyc: http://identifiers.org/biocyc/META:APS; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM287; SEED Compound: http://identifiers.org/seed.compound/cpd00193	aps; aps_m
asnglcnacglcnacman_man_manman_manman_manmanmanglc_c	asnglcnacglcnacman_man_manman_manman_manmanmanglc	Asn(-b1)GlcNAc(4-b1)GlcNAc(4-b1)Man[(6-a1)Man[(6-a1)Man(2-a1)Man](3-a1)Man(2-a1)Man](3-a1)Man(2-a1)Man(2-a1)Man(3-a1)Glc	iRC1080	MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM147046; SEED Compound: http://identifiers.org/seed.compound/cpd30166	asnglcnacglcnacman_DASH_LPAREN_DASH_man_DASH_LPAREN_DASH_manman_DASH_RPAREN_DASH_manman_DASH_RPAREN_DASH_manmanmanglc_c; asnglcnacglcnacman_man_manman_manman_manmanmanglc
asnglcnacglcnacman_man_manman_manman_manmanmanglcglcglc_c	asnglcnacglcnacman_man_manman_manman_manmanmanglcglcglc	Asn(-b1)GlcNAc(4-b1)GlcNAc(4-b1)Man[(6-a1)Man[(6-a1)Man(2-a1)Man](3-a1)Man(2-a1)Man](3-a1)Man(2-a1)Man(2-a1)Man(3-a1)Glc(3-a1)Glc(2-a1)Glc	iRC1080	MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM147438; SEED Compound: http://identifiers.org/seed.compound/cpd30168	asnglcnacglcnacman_DASH_LPAREN_DASH_man_DASH_LPAREN_DASH_manman_DASH_RPAREN_DASH_manman_DASH_RPAREN_DASH_manmanmanglcglcglc_c; asnglcnacglcnacman_man_manman_manman_manmanmanglcglcglc
asqdpa1819Z160_c	asqdpa1819Z160	2'-O-all-cis-5,9,12-octadecatrienoyl-sulfoquinovosyldiacylglycerol (2'-18:3(5,9,12)/18:1(9Z)/16:0)	iRC1080	MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM146490; SEED Compound: http://identifiers.org/seed.compound/cpd30179	asqdpa1819Z160; asqdpa1819Z160_c
btcoa_x	btcoa	Butanoyl-CoA	iRC1080; Recon3D	Reactome Compound: http://identifiers.org/reactome/R-ALL-77318; KEGG Compound: http://identifiers.org/kegg.compound/C00136; CHEBI: http://identifiers.org/chebi/CHEBI:13926; CHEBI: http://identifiers.org/chebi/CHEBI:15517; CHEBI: http://identifiers.org/chebi/CHEBI:22953; CHEBI: http://identifiers.org/chebi/CHEBI:22973; CHEBI: http://identifiers.org/chebi/CHEBI:3235; CHEBI: http://identifiers.org/chebi/CHEBI:57371; InChI Key: https://identifiers.org/inchikey/CRFNGMNYKDXRTN-CITAKDKDSA-J; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01088; LipidMaps: http://identifiers.org/lipidmaps/LMFA07050292; BioCyc: http://identifiers.org/biocyc/META:BUTYRYL-COA; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM233; SEED Compound: http://identifiers.org/seed.compound/cpd00120	btcoa; btcoa[x]; btcoa_x
btnCCP_h	btnCCP	Holo-[carboxylase]	iLB1027_lipid; iRC1080	KEGG Compound: http://identifiers.org/kegg.compound/C06250; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM96075; SEED Compound: http://identifiers.org/seed.compound/cpd12848	btnCCP; btnCCP_h
but2eACP_h	but2eACP	But-2-enoyl-[acyl-carrier protein]	iRC1080; iLB1027_lipid; iAM_Pv461; iAM_Pc455; iAM_Pk459; iAM_Pb448; iAM_Pf480	KEGG Compound: http://identifiers.org/kegg.compound/C04246; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM3229; SEED Compound: http://identifiers.org/seed.compound/cpd11465	but2eACP; but2eACP_h
butACP_h	butACP	Butyryl-ACP (n-C4:0ACP)	iAM_Pv461; iAM_Pc455; iAM_Pk459; iAM_Pb448; iAM_Pf480; iRC1080; iLB1027_lipid	MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM90458	butACP; butACP_h
camp_n	camp	CAMP C10H11N5O6P	iRC1080	Reactome Compound: http://identifiers.org/reactome/R-ALL-30389; KEGG Compound: http://identifiers.org/kegg.compound/C00575; CHEBI: http://identifiers.org/chebi/CHEBI:11673; CHEBI: http://identifiers.org/chebi/CHEBI:1325; CHEBI: http://identifiers.org/chebi/CHEBI:17489; CHEBI: http://identifiers.org/chebi/CHEBI:19827; CHEBI: http://identifiers.org/chebi/CHEBI:41588; CHEBI: http://identifiers.org/chebi/CHEBI:58165; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00058; InChI Key: https://identifiers.org/inchikey/IVOMOUWHDPKRLL-KQYNXXCUSA-M; BioCyc: http://identifiers.org/biocyc/META:CAMP; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM243; SEED Compound: http://identifiers.org/seed.compound/cpd00446	camp; camp_n
cat_c	cat	Calcitriol	iRC1080	Reactome Compound: http://identifiers.org/reactome/R-ALL-209800; Reactome Compound: http://identifiers.org/reactome/R-ALL-215607; KEGG Compound: http://identifiers.org/kegg.compound/C01673; CHEBI: http://identifiers.org/chebi/CHEBI:13932; CHEBI: http://identifiers.org/chebi/CHEBI:17823; CHEBI: http://identifiers.org/chebi/CHEBI:19209; CHEBI: http://identifiers.org/chebi/CHEBI:3307; CHEBI: http://identifiers.org/chebi/CHEBI:46435; CHEBI: http://identifiers.org/chebi/CHEBI:93988; KEGG Drug: http://identifiers.org/kegg.drug/D00129; InChI Key: https://identifiers.org/inchikey/GMRQFYUYWCNGIN-NKMMMXOESA-N; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01903; LipidMaps: http://identifiers.org/lipidmaps/LMST03020258; LipidMaps: http://identifiers.org/lipidmaps/LMST03020265; BioCyc: http://identifiers.org/biocyc/META:CALCITRIOL; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM1042; SEED Compound: http://identifiers.org/seed.compound/cpd01156	cat; cat_c
cbtnCCP_h	cbtnCCP	Carboxybiotin-carboxyl-carrier protein	iRC1080	KEGG Compound: http://identifiers.org/kegg.compound/C04419; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM5655; SEED Compound: http://identifiers.org/seed.compound/cpd12543	cbtnCCP; cbtnCCP_h
cdp12dgr18111Z160_h	cdp12dgr18111Z160	CDP-1-(9Z)-octadecenoyl,2-hexadecanoyl-sn-glycerol	iRC1080	MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM146537; SEED Compound: http://identifiers.org/seed.compound/cpd30199	cdp12dgr18111Z160; cdp12dgr18111Z160_h
cholphya_u	cholphya	Chlorophyll a	iRC1080	KEGG Compound: http://identifiers.org/kegg.compound/C05306; CHEBI: http://identifiers.org/chebi/CHEBI:13974; CHEBI: http://identifiers.org/chebi/CHEBI:18230; CHEBI: http://identifiers.org/chebi/CHEBI:23157; CHEBI: http://identifiers.org/chebi/CHEBI:3631; CHEBI: http://identifiers.org/chebi/CHEBI:48807; CHEBI: http://identifiers.org/chebi/CHEBI:58416; Human Metabolome Database: http://identifiers.org/hmdb/HMDB38578; BioCyc: http://identifiers.org/biocyc/META:CHLOROPHYLL-A; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM46466; InChI Key: https://identifiers.org/inchikey/VSRAJQZEEBBURZ-ONWAGYJKSA-M; SEED Compound: http://identifiers.org/seed.compound/cpd03148	chla; chla_u
chlld_h	chlld	Chlorophyllide a	iRC1080; iLB1027_lipid	CHEBI: http://identifiers.org/chebi/CHEBI:13976; CHEBI: http://identifiers.org/chebi/CHEBI:13977; CHEBI: http://identifiers.org/chebi/CHEBI:16900; CHEBI: http://identifiers.org/chebi/CHEBI:23159; CHEBI: http://identifiers.org/chebi/CHEBI:3633; CHEBI: http://identifiers.org/chebi/CHEBI:57942; CHEBI: http://identifiers.org/chebi/CHEBI:83348; InChI Key: https://identifiers.org/inchikey/IZOAGQOHKWGYKF-PVMVIUQGSA-K; BioCyc: http://identifiers.org/biocyc/META:CHLOROPHYLLIDE-A; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM631	chlda; chlda_h
cital_c	cital	Citalopram	iRC1080	MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM146538	cital; cital_c
citr__L_h	citr__L	L-Citrulline	iRC1080	Reactome Compound: http://identifiers.org/reactome/R-ALL-113567; Reactome Compound: http://identifiers.org/reactome/R-ALL-29968; KEGG Compound: http://identifiers.org/kegg.compound/C00327; CHEBI: http://identifiers.org/chebi/CHEBI:13092; CHEBI: http://identifiers.org/chebi/CHEBI:14002; CHEBI: http://identifiers.org/chebi/CHEBI:16349; CHEBI: http://identifiers.org/chebi/CHEBI:18211; CHEBI: http://identifiers.org/chebi/CHEBI:21257; CHEBI: http://identifiers.org/chebi/CHEBI:3730; CHEBI: http://identifiers.org/chebi/CHEBI:41489; CHEBI: http://identifiers.org/chebi/CHEBI:57743; CHEBI: http://identifiers.org/chebi/CHEBI:6203; CHEBI: http://identifiers.org/chebi/CHEBI:66922; KEGG Drug: http://identifiers.org/kegg.drug/D07706; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00904; BioCyc: http://identifiers.org/biocyc/META:L-CITRULLINE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM211; InChI Key: https://identifiers.org/inchikey/RHGKLRLOHDJJDR-BYPYZUCNSA-N; SEED Compound: http://identifiers.org/seed.compound/cpd00274	citr_DASH_L_h; citr__L
co_h	co	Carbon monoxide	iLB1027_lipid; iRC1080	Reactome Compound: http://identifiers.org/reactome/R-ALL-189385; KEGG Compound: http://identifiers.org/kegg.compound/C00237; CHEBI: http://identifiers.org/chebi/CHEBI:13281; CHEBI: http://identifiers.org/chebi/CHEBI:17245; CHEBI: http://identifiers.org/chebi/CHEBI:23013; CHEBI: http://identifiers.org/chebi/CHEBI:3282; CHEBI: http://identifiers.org/chebi/CHEBI:41526; CHEBI: http://identifiers.org/chebi/CHEBI:58072; KEGG Drug: http://identifiers.org/kegg.drug/D03398; KEGG Drug: http://identifiers.org/kegg.drug/D09706; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01361; BioCyc: http://identifiers.org/biocyc/META:CARBON-MONOXIDE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM10881; InChI Key: https://identifiers.org/inchikey/UGFAIRIUMAVXCW-UHFFFAOYSA-N; SEED Compound: http://identifiers.org/seed.compound/cpd00204	co; co_h
co2_h	co2	CO2 CO2	iRC1080; iLB1027_lipid; iAM_Pc455; iAM_Pf480; iAM_Pb448; iAM_Pk459; iAM_Pv461	Reactome Compound: http://identifiers.org/reactome/R-ALL-1132345; Reactome Compound: http://identifiers.org/reactome/R-ALL-113528; Reactome Compound: http://identifiers.org/reactome/R-ALL-1237009; Reactome Compound: http://identifiers.org/reactome/R-ALL-159751; Reactome Compound: http://identifiers.org/reactome/R-ALL-159942; Reactome Compound: http://identifiers.org/reactome/R-ALL-189480; Reactome Compound: http://identifiers.org/reactome/R-ALL-29376; Reactome Compound: http://identifiers.org/reactome/R-ALL-389536; Reactome Compound: http://identifiers.org/reactome/R-ALL-5668565; KEGG Compound: http://identifiers.org/kegg.compound/C00011; CHEBI: http://identifiers.org/chebi/CHEBI:13282; CHEBI: http://identifiers.org/chebi/CHEBI:13283; CHEBI: http://identifiers.org/chebi/CHEBI:13284; CHEBI: http://identifiers.org/chebi/CHEBI:13285; CHEBI: http://identifiers.org/chebi/CHEBI:16526; CHEBI: http://identifiers.org/chebi/CHEBI:23011; CHEBI: http://identifiers.org/chebi/CHEBI:3283; CHEBI: http://identifiers.org/chebi/CHEBI:48829; InChI Key: https://identifiers.org/inchikey/CURLTUGMZLYLDI-UHFFFAOYSA-N; KEGG Drug: http://identifiers.org/kegg.drug/D00004; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01967; BioCyc: http://identifiers.org/biocyc/META:CARBON-DIOXIDE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM13; SEED Compound: http://identifiers.org/seed.compound/cpd00011	co2; co2_h
coa_s	coa	Coenzyme A	iRC1080	Reactome Compound: http://identifiers.org/reactome/R-ALL-162743; Reactome Compound: http://identifiers.org/reactome/R-ALL-1678675; Reactome Compound: http://identifiers.org/reactome/R-ALL-193514; Reactome Compound: http://identifiers.org/reactome/R-ALL-2485002; Reactome Compound: http://identifiers.org/reactome/R-ALL-29374; Reactome Compound: http://identifiers.org/reactome/R-ALL-76194; Reactome Compound: http://identifiers.org/reactome/R-ALL-8939024; KEGG Compound: http://identifiers.org/kegg.compound/C00010; CHEBI: http://identifiers.org/chebi/CHEBI:13294; CHEBI: http://identifiers.org/chebi/CHEBI:13295; CHEBI: http://identifiers.org/chebi/CHEBI:13298; CHEBI: http://identifiers.org/chebi/CHEBI:15346; CHEBI: http://identifiers.org/chebi/CHEBI:23355; CHEBI: http://identifiers.org/chebi/CHEBI:3771; CHEBI: http://identifiers.org/chebi/CHEBI:41597; CHEBI: http://identifiers.org/chebi/CHEBI:41631; CHEBI: http://identifiers.org/chebi/CHEBI:57287; CHEBI: http://identifiers.org/chebi/CHEBI:741566; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01423; Human Metabolome Database: http://identifiers.org/hmdb/HMDB62184; BioCyc: http://identifiers.org/biocyc/META:CO-A; BioCyc: http://identifiers.org/biocyc/META:COA-GROUP; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM12; InChI Key: https://identifiers.org/inchikey/RGJOEKWQDUBAIZ-IBOSZNHHSA-J; SEED Compound: http://identifiers.org/seed.compound/cpd00010; SEED Compound: http://identifiers.org/seed.compound/cpd22528	coa; coa_s
cpppg3_h	cpppg3	Coproporphyrinogen III	iAM_Pk459; iAM_Pb448; iAM_Pv461; iAM_Pc455; iAM_Pf480; iRC1080; iLB1027_lipid	Reactome Compound: http://identifiers.org/reactome/R-ALL-189411; Reactome Compound: http://identifiers.org/reactome/R-ALL-189455; KEGG Compound: http://identifiers.org/kegg.compound/C03263; CHEBI: http://identifiers.org/chebi/CHEBI:14020; CHEBI: http://identifiers.org/chebi/CHEBI:15439; CHEBI: http://identifiers.org/chebi/CHEBI:23386; CHEBI: http://identifiers.org/chebi/CHEBI:3880; CHEBI: http://identifiers.org/chebi/CHEBI:41560; CHEBI: http://identifiers.org/chebi/CHEBI:57309; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01261; BioCyc: http://identifiers.org/biocyc/META:COPROPORPHYRINOGEN_III; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM410; InChI Key: https://identifiers.org/inchikey/NIUVHXTXUXOFEB-UHFFFAOYSA-J; SEED Compound: http://identifiers.org/seed.compound/cpd02083	cpppg3; cpppg3_h
cytc_h	cytc	Cytochrome c	iRC1080	KEGG Compound: http://identifiers.org/kegg.compound/C00524; CHEBI: http://identifiers.org/chebi/CHEBI:14407; CHEBI: http://identifiers.org/chebi/CHEBI:18070; CHEBI: http://identifiers.org/chebi/CHEBI:38552; CHEBI: http://identifiers.org/chebi/CHEBI:4062; CHEBI: http://identifiers.org/chebi/CHEBI:5745; KEGG Drug: http://identifiers.org/kegg.drug/D00072; BioCyc: http://identifiers.org/biocyc/META:CPD-16495; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM18528; SEED Compound: http://identifiers.org/seed.compound/cpd00410; SEED Compound: http://identifiers.org/seed.compound/cpd12175	cytc; cytc_h
